Новый: Время (с)	Новый: Угол (rad)	Новый: Скорость (rad/с)	Новый: Ускорение (rad/с?)
161.2	-1465.518066	0	0
161.25	-1465.518066	0	0
161.3	-1465.518066	0	0
161.35	-1465.518066	0	0
161.4	-1465.518066	0	0
161.45	-1465.518066	0	0
161.5	-1465.518066	0	0
161.55	-1465.518066	0	0
161.6	-1465.518066	0	0
161.65	-1465.518066	0	0
161.7	-1465.518066	0	0
161.75	-1465.518066	0	0
161.8	-1465.518066	0	0
161.85	-1465.518066	0	0
161.9	-1465.518066	0	0
161.95	-1465.518066	0	0
162	-1465.518066	0	0
162.05	-1465.518066	0	0
162.1	-1465.518066	0	0
162.15	-1465.518066	0	0
162.2	-1465.518066	0	0
162.25	-1465.518066	0	0
162.3	-1465.518066	0	0
162.35	-1465.518066	0	0
162.4	-1465.518066	0	0
162.45	-1465.518066	0	0
162.5	-1465.518066	0	0
162.55	-1465.518066	0	0
162.6	-1465.518066	0	0
162.65	-1465.518066	0	0
162.7	-1465.518066	0	0
162.75	-1465.518066	0	0
162.8	-1465.518066	0	0
162.85	-1465.518066	0	0
162.9	-1465.518066	0	0
162.95	-1465.518066	0	0
163	-1465.518066	0	0
163.05	-1465.518066	0	0
163.1	-1465.518066	0	0
163.15	-1465.518066	0	0
163.2	-1465.518066	0	0
163.25	-1465.518066	0	0
163.3	-1465.518066	0	0
163.35	-1465.518066	0	0
163.4	-1465.518066	0	0
163.45	-1465.518066	0	0
163.5	-1465.518066	0	0
163.55	-1465.518066	0	0
163.6	-1465.518066	0	0
163.65	-1465.518066	0	0
163.7	-1465.518066	0	0
163.75	-1465.518066	0	0
163.8	-1465.518066	0	0
163.85	-1465.518066	0	0
163.9	-1465.518066	0	0
163.95	-1465.518066	0	0
164	-1465.518066	0	0
164.05	-1465.518066	0	0
164.1	-1465.518066	0	0
164.15	-1465.518066	0	0
164.2	-1465.518066	0	0
164.25	-1465.518066	0	0
164.3	-1465.518066	0	0
164.35	-1465.518066	0	0
164.4	-1465.518066	0	0
164.45	-1465.518066	0	0
164.5	-1465.518066	0	0
164.55	-1465.518066	0	0
164.6	-1465.518066	0	0
164.65	-1465.518066	0	0
164.7	-1465.518066	0	0
164.75	-1465.518066	0	0
164.8	-1465.518066	0	0
164.85	-1465.518066	0	0
164.9	-1465.518066	0	0
164.95	-1465.518066	0	0
165	-1465.518066	0	0
165.05	-1465.518066	0	0
165.1	-1465.518066	0	0
165.15	-1465.518066	0	0
165.2	-1465.518066	0	0
165.25	-1465.518066	0	0
165.3	-1465.518066	0	0
165.35	-1465.518066	0	0
165.4	-1465.518066	0	0
165.45	-1465.518066	0	0
165.5	-1465.518066	0	0
165.55	-1465.518066	0	0
165.6	-1465.518066	0	0
165.65	-1465.518066	0	0
165.7	-1465.518066	0	0
165.75	-1465.518066	0	0
165.8	-1465.518066	0	0
165.85	-1465.518066	0	0
165.9	-1465.518066	0	0
165.95	-1465.518066	0	0
166	-1465.518066	0	0
166.05	-1465.518066	0	0
166.1	-1465.518066	0	0
166.15	-1465.518066	0	0
166.2	-1465.518066	0	0
166.25	-1465.518066	0	0
166.3	-1465.518066	0	0
166.35	-1465.518066	0	0
166.4	-1465.518066	0	0
166.45	-1465.518066	0	0
166.5	-1465.518066	0	0
166.55	-1465.518066	0	0
166.6	-1465.518066	0	0
166.65	-1465.518066	0	0
166.7	-1465.518066	0	0
166.75	-1465.518066	0	0
166.8	-1465.518066	0	0
166.85	-1465.518066	0	0
166.9	-1465.518066	0	0
166.95	-1465.518066	0	0
167	-1465.518066	0	0
167.05	-1465.518066	0	0
167.1	-1465.518066	0	0
167.15	-1465.518066	0	0
167.2	-1465.518066	0	0
167.25	-1465.518066	0	0
167.3	-1465.518066	0	0
167.35	-1465.518066	0	0
167.4	-1465.518066	0	0
167.45	-1465.518066	0	0
167.5	-1465.518066	0	0
167.55	-1465.518066	0	0
167.6	-1465.518066	0	0
167.65	-1465.518066	0	0
167.7	-1465.518066	0	0
167.75	-1465.518066	0	0
167.8	-1465.518066	0	0
167.85	-1465.518066	0	0
167.9	-1465.518066	0	0
167.95	-1465.518066	0	0
168	-1465.518066	0	0
168.05	-1465.518066	0	0
168.1	-1465.518066	0	0
168.15	-1465.518066	0	0
168.2	-1465.518066	0	0
168.25	-1465.518066	0	0
168.3	-1465.518066	0	0
168.35	-1465.518066	0	0
168.4	-1465.518066	0	0
168.45	-1465.518066	0	0
168.5	-1465.518066	0	0
168.55	-1465.518066	0	0
168.6	-1465.518066	0	0
168.65	-1465.518066	0	0
168.7	-1465.518066	0	0
168.75	-1465.518066	0	0
168.8	-1465.518066	0	0
168.85	-1465.518066	0	0
168.9	-1465.518066	0	0
168.95	-1465.518066	0	0
169	-1465.518066	0	0
169.05	-1465.518066	0	0
169.1	-1465.518066	0	0
169.15	-1465.518066	0	0
169.2	-1465.518066	0	0
169.25	-1465.518066	0	0
169.3	-1465.518066	0	0
169.35	-1465.518066	0	0
169.4	-1465.518066	0	0
169.45	-1465.518066	0	0
169.5	-1465.518066	0	0
169.55	-1465.518066	0	0
169.6	-1465.518066	0	0
169.65	-1465.518066	0	0
169.7	-1465.518066	0	0
169.75	-1465.518066	0	0
169.8	-1465.518066	0	0
169.85	-1465.518066	0	0
169.9	-1465.518066	0	0
169.95	-1465.518066	0	0
170	-1465.518066	0	0
170.05	-1465.518066	0	0
170.1	-1465.518066	0	0
170.15	-1465.518066	0	0
170.2	-1465.518066	0	0
170.25	-1465.518066	0	0
170.3	-1465.518066	0	0
170.35	-1465.518066	0	0
170.4	-1465.518066	0	0
170.45	-1465.518066	0	0
170.5	-1465.518066	0	0
170.55	-1465.518066	0	0
170.6	-1465.518066	0	0
170.65	-1465.518066	0	0
170.7	-1465.518066	0	0
170.75	-1465.518066	0	0
170.8	-1465.518066	0	0
170.85	-1465.518066	0	0
170.9	-1465.518066	0	0
170.95	-1465.518066	0	0
171	-1465.518066	0	0
171.05	-1465.518066	0	0
171.1	-1465.518066	0	0
171.15	-1465.518066	0	0
171.2	-1465.518066	0	0
171.25	-1465.518066	0	0
171.3	-1465.518066	0	0
171.35	-1465.518066	0	0
171.4	-1465.518066	0	0
171.45	-1465.518066	0	0
171.5	-1465.518066	0	0
171.55	-1465.518066	0	0
171.6	-1465.518066	0	0
171.65	-1465.518066	0	0
171.7	-1465.518066	0	0
171.75	-1465.518066	0	0
171.8	-1465.518066	0	0
171.85	-1465.518066	0	0
171.9	-1465.518066	0	0
171.95	-1465.518066	0	0
172	-1465.518066	0	0
172.05	-1465.518066	0	0
172.1	-1465.518066	0	0
172.15	-1465.518066	0	0
172.2	-1465.518066	0	0
172.25	-1465.518066	0	0
172.3	-1465.518066	0	0
172.35	-1465.518066	0	0
172.4	-1465.518066	0	0
172.45	-1465.518066	0	0
172.5	-1465.518066	0	0
172.55	-1465.518066	0	0
172.6	-1465.518066	0	0
172.65	-1465.518066	0	0
172.7	-1465.518066	0	0
172.75	-1465.518066	0	0
172.8	-1465.518066	0	0
172.85	-1465.518066	0	0
172.9	-1465.518066	0	0
172.95	-1465.518066	0	0
173	-1465.518066	0	0
173.05	-1465.518066	0	0
173.1	-1465.518066	0	0
173.15	-1465.518066	0	0
173.2	-1465.518066	0	0
173.25	-1465.518066	0	0
173.3	-1465.518066	0	0
173.35	-1465.518066	0	0
173.4	-1465.518066	0	0
173.45	-1465.518066	0	0
173.5	-1465.518066	0	0
173.55	-1465.518066	0	0
173.6	-1465.518066	0	0
173.65	-1465.518066	0	0
173.7	-1465.518066	0	0
173.75	-1465.518066	0	0
173.8	-1465.518066	0	0
173.85	-1465.518066	0	0
173.9	-1465.518066	0	0
173.95	-1465.518066	0	0
174	-1465.518066	0	0
174.05	-1465.518066	0	0
174.1	-1465.518066	0	0
174.15	-1465.518066	0	0
174.2	-1465.518066	0	0
174.25	-1465.518066	0	0
174.3	-1465.518066	0	0
174.35	-1465.518066	0	0
174.4	-1465.518066	0	0
174.45	-1465.518066	0	0
174.5	-1465.518066	0	0
174.55	-1465.518066	0	0
174.6	-1465.518066	0	0
174.65	-1465.518066	0	0
174.7	-1465.518066	0	0
174.75	-1465.518066	0	0
174.8	-1465.518066	0	0
174.85	-1465.518066	0	0
174.9	-1465.518066	0	0
174.95	-1465.518066	0	0
175	-1465.518066	0	0
175.05	-1465.518066	0	0
175.1	-1465.518066	0	0
175.15	-1465.518066	0	0
175.2	-1465.518066	0	0
175.25	-1465.518066	0	0
175.3	-1465.518066	0	0
175.35	-1465.518066	0	0
175.4	-1465.518066	0	0
175.45	-1465.518066	0	0
175.5	-1465.518066	0	0
175.55	-1465.518066	0	0
175.6	-1465.518066	0	0
175.65	-1465.518066	0	0
175.7	-1465.518066	0	0
175.75	-1465.518066	0	0
175.8	-1465.518066	0	0
175.85	-1465.518066	0	0
175.9	-1465.518066	0	0
175.95	-1465.518066	0	0
176	-1465.518066	0	0
176.05	-1465.518066	0	0
176.1	-1465.518066	0	0
176.15	-1465.518066	0	0
176.2	-1465.518066	0	0
176.25	-1465.518066	0	0
176.3	-1465.518066	0	0
176.35	-1465.518066	0	0
176.4	-1465.518066	0	0
176.45	-1465.518066	0	0
176.5	-1465.518066	0	0
176.55	-1465.518066	0	0
176.6	-1465.518066	0	0
176.65	-1465.518066	0	0
176.7	-1465.518066	0	0
176.75	-1465.518066	0	0
176.8	-1465.518066	0	0
176.85	-1465.518066	0	0
176.9	-1465.518066	0	0
176.95	-1465.518066	0	0
177	-1465.518066	0	0
177.05	-1465.518066	0	0
177.1	-1465.518066	0	0
177.15	-1465.518066	0	0
177.2	-1465.518066	0	0
177.25	-1465.518066	0	0
177.3	-1465.518066	0	0
177.35	-1465.518066	0	0
177.4	-1465.518066	0	0
177.45	-1465.518066	0	0
177.5	-1465.518066	0	0
177.55	-1465.518066	0	0
177.6	-1465.518066	0	0
177.65	-1465.518066	0	0
177.7	-1465.518066	0	0
177.75	-1465.518066	0	0
177.8	-1465.518066	0	0
177.85	-1465.518066	0	0
177.9	-1465.518066	0	0
177.95	-1465.518066	0	0
178	-1465.518066	0	0
178.05	-1465.518066	0	0
178.1	-1465.518066	0	0
178.15	-1465.518066	0	0
178.2	-1465.518066	0	0
178.25	-1465.518066	0	0
178.3	-1465.518066	0	0
178.35	-1465.518066	0	0
178.4	-1465.518066	0	0
178.45	-1465.518066	0	0
178.5	-1465.518066	0	0
178.55	-1465.518066	0	0
178.6	-1465.518066	0	0
178.65	-1465.518066	0	0
178.7	-1465.518066	0	0
178.75	-1465.518066	0	0
178.8	-1465.518066	0	0
178.85	-1465.518066	0	0
178.9	-1465.518066	0	0
178.95	-1465.518066	0	0
179	-1465.518066	0	0
179.05	-1465.518066	0	0
179.1	-1465.518066	0	0
179.15	-1465.518066	0	0
179.2	-1465.518066	0	0
179.25	-1465.518066	0	0
179.3	-1465.518066	0	0
179.35	-1465.518066	0	0
179.4	-1465.518066	0	0
179.45	-1465.518066	0	0
179.5	-1465.518066	0	0
179.55	-1465.518066	0	0
179.6	-1465.518066	0	0
179.65	-1465.518066	0	0
179.7	-1465.518066	0	0
179.75	-1465.518066	0	0
179.8	-1465.518066	0	0
179.85	-1465.518066	0	0
179.9	-1465.518066	0	0
179.95	-1465.518066	0	0
180	-1465.518066	0	0
180.05	-1465.518066	0	0
180.1	-1465.518066	0	0
180.15	-1465.518066	0	0
180.2	-1465.518066	0	0
180.25	-1465.518066	0	0
180.3	-1465.518066	0	0
180.35	-1465.518066	0	0
180.4	-1465.518066	0	0
180.45	-1465.518066	0	0
180.5	-1465.518066	0	0
180.55	-1465.518066	0	0
180.6	-1465.518066	0	0
180.65	-1465.518066	0	0
180.7	-1465.518066	0	0
180.75	-1465.518066	0	0
180.8	-1465.518066	0	0
180.85	-1465.518066	0	0
180.9	-1465.518066	0	0
180.95	-1465.518066	0	0
181	-1465.518066	0	0
181.05	-1465.518066	0	0
181.1	-1465.518066	0	0
181.15	-1465.518066	0	0
181.2	-1465.518066	0	0
181.25	-1465.518066	0	0
181.3	-1465.518066	0	0
181.35	-1465.518066	0	0
181.4	-1465.518066	0	0
181.45	-1465.518066	0	0
181.5	-1465.518066	0	0
181.55	-1465.518066	0	0
181.6	-1465.518066	0	0
181.65	-1465.518066	0	0
181.7	-1465.518066	0	0
181.75	-1465.518066	0	0
181.8	-1465.518066	0	0
181.85	-1465.518066	0	0
181.9	-1465.518066	0	0
181.95	-1465.518066	0	0
182	-1465.518066	0	0
182.05	-1465.518066	0	0
182.1	-1465.518066	0	0
182.15	-1465.518066	0	0
182.2	-1465.518066	0	0
182.25	-1465.518066	0	0
182.3	-1465.518066	0	0
182.35	-1465.518066	0	0
182.4	-1465.518066	0	0
182.45	-1465.518066	0	0
182.5	-1465.518066	0	0
182.55	-1465.518066	0	0
182.6	-1465.518066	0	0
182.65	-1465.518066	0	0
182.7	-1465.518066	0	0
182.75	-1465.518066	0	0
182.8	-1465.518066	0	0
182.85	-1465.518066	0	0
182.9	-1465.518066	0	0
182.95	-1465.518066	0	0
183	-1465.518066	0	0
183.05	-1465.518066	0	0
183.1	-1465.518066	0	0
183.15	-1465.518066	0	0
183.2	-1465.518066	0	0
183.25	-1465.518066	0	0
183.3	-1465.518066	0	0
183.35	-1465.518066	0	0
183.4	-1465.518066	0	0
183.45	-1465.518066	0	0
183.5	-1465.518066	0	0
183.55	-1465.518066	0	0
183.6	-1465.518066	0	0
183.65	-1465.518066	0	0
183.7	-1465.518066	0	0
183.75	-1465.518066	0	0
183.8	-1465.518066	0	0
183.85	-1465.518066	0	0
183.9	-1465.518066	0	0
183.95	-1465.518066	0	0
184	-1465.518066	0	0
184.05	-1465.518066	0	0
184.1	-1465.518066	0	0
184.15	-1465.518066	0	0
184.2	-1465.518066	0	0
184.25	-1465.518066	0	0
184.3	-1465.518066	0	0
184.35	-1465.518066	0	0
184.4	-1465.518066	0	0
184.45	-1465.518066	0	0
184.5	-1465.518066	0	0
184.55	-1465.518066	0	0
184.6	-1465.518066	0	0
184.65	-1465.518066	0	0
184.7	-1465.518066	0	0
184.75	-1465.518066	0	0
184.8	-1465.518066	0	0
184.85	-1465.518066	0	0
184.9	-1465.518066	0	0
184.95	-1465.518066	0	0
185	-1465.518066	0	0
185.05	-1465.518066	0	0
185.1	-1465.518066	0	0
185.15	-1465.518066	0	0
185.2	-1465.518066	0	0
185.25	-1465.518066	0	0
185.3	-1465.518066	0	0
185.35	-1465.518066	0	0
185.4	-1465.518066	0	0
185.45	-1465.518066	0	0
185.5	-1465.518066	0	0
185.55	-1465.518066	0	0
185.6	-1465.518066	0	0
185.65	-1465.518066	0	0
185.7	-1465.518066	0	0
185.75	-1465.518066	0	0
185.8	-1465.518066	0	0
185.85	-1465.518066	0	0
185.9	-1465.518066	0	0
185.95	-1465.518066	0	0
186	-1465.518066	0	0
186.05	-1465.518066	0	0
186.1	-1465.518066	0	0
186.15	-1465.518066	0	0
186.2	-1465.518066	0	0
186.25	-1465.518066	0	0
186.3	-1465.518066	0	0
186.35	-1465.518066	0	0
186.4	-1465.518066	0	0
186.45	-1465.518066	0	0
186.5	-1465.518066	0	0
186.55	-1465.518066	0	0
186.6	-1465.518066	0	0
186.65	-1465.518066	0	0
186.7	-1465.518066	0	0
186.75	-1465.518066	0	0
186.8	-1465.518066	0	0
186.85	-1465.518066	0	0
186.9	-1465.518066	0	0
186.95	-1465.518066	0	0
187	-1465.518066	0	0
187.05	-1465.518066	0	0
187.1	-1465.518066	0	0
187.15	-1465.518066	0	0
187.2	-1465.518066	0	0
187.25	-1465.518066	0	0
187.3	-1465.518066	0	0
187.35	-1465.518066	0	0
187.4	-1465.518066	0	0
187.45	-1465.518066	0	0
187.5	-1465.518066	0	0
187.55	-1465.518066	0	0
187.6	-1465.518066	0	0
187.65	-1465.518066	0	0
187.7	-1465.518066	0	0
187.75	-1465.518066	0	0
187.8	-1465.518066	0	0
187.85	-1465.518066	0	0
187.9	-1465.518066	0	0
187.95	-1465.518066	0	0
188	-1465.518066	0	0
188.05	-1465.518066	0	0
188.1	-1465.518066	0	0
188.15	-1465.518066	0	0
188.2	-1465.518066	0	0
188.25	-1465.518066	0	0
188.3	-1465.518066	0	0
188.35	-1465.518066	0	0
188.4	-1465.518066	0	0
188.45	-1465.518066	0	0
188.5	-1465.518066	0	0
188.55	-1465.518066	0	0
